time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
0.0003436,264,325,3
0.0003437,264,325,3
0.0003438,264,325,3
0.0003439,264,325,3
0.000344,264,325,3
0.0003441,264,325,3
0.0003442,264,325,3
0.0003443,264,325,3
0.0003444,264,325,3
0.0003445,264,325,3
0.0003446,264,325,3
0.0003447,264,325,3
0.0003448,264,325,3
0.0003449,264,325,3
0.000345,264,325,3
0.0003451,264,325,3
0.0003452,264,325,3
0.0003453,264,325,3
0.0003454,264,325,3
0.0003455,264,325,3
0.0003456,264,325,3
0.0003457,264,325,3
0.0003458,264,325,3
0.0003459,264,325,3
0.000346,264,325,3
0.0003461,264,325,3
0.0003462,264,325,3
0.0003463,264,325,3
0.0003464,264,325,3
0.0003465,264,325,3
0.0003466,264,325,3
0.0003467,264,325,3
0.0003468,264,325,3
0.0003469,264,325,3
0.000347,264,325,3
0.0003471,264,325,3
0.0003472,264,325,3
0.0003473,264,325,3
0.0003474,264,325,3
0.0003475,264,325,3
0.0003476,264,325,3
0.0003477,264,325,3
0.0003478,264,325,3
0.0003479,264,325,3
0.000348,264,325,3
0.0003481,264,325,3
0.0003482,264,325,3
0.0003483,264,325,3
0.0003484,264,325,3
0.0003485,264,325,3
0.0003486,264,325,3
0.0003487,264,325,3
0.0003488,264,325,3
0.0003489,264,325,3
0.000349,264,325,3
0.0003491,264,325,3
0.0003492,264,325,3
0.0003493,264,325,3
0.0003494,264,325,3
0.0003495,264,325,3
0.0003496,264,325,3
0.0003497,264,325,3
0.0003498,264,325,3
0.0003499,264,325,3
0.00035,264,325,3
0.0003501,264,325,3
0.0003502,264,325,3
0.0003503,264,325,3
0.0003504,264,325,3
0.0003505,264,325,3
0.0003506,264,325,3
0.0003507,264,325,3
0.0003508,264,325,3
0.0003509,264,325,3
0.000351,264,325,3
0.0003511,264,325,3
0.0003512,264,325,3
0.0003513,264,325,3
0.0003514,264,325,3
0.0003515,264,325,3
0.0003516,264,325,3
0.0003517,264,325,3
0.0003518,264,325,3
0.0003519,264,325,3
0.000352,264,325,3
0.0003521,264,325,3
0.0003522,264,325,3
0.0003523,264,325,3
0.0003524,264,325,3
0.0003525,264,325,3
0.0003526,264,325,3
0.0003527,264,325,3
0.0003528,264,325,3
0.0003529,264,325,3
0.000353,264,325,3
0.0003531,264,325,3
0.0003532,264,325,3
0.0003533,264,325,3
0.0003534,264,325,3
0.0003535,264,325,3
0.0003536,264,325,3
0.0003537,264,325,3
0.0003538,264,325,3
0.0003539,264,325,3
0.000354,264,325,3
0.0003541,264,325,3
0.0003542,264,325,3
0.0003543,264,325,3
0.0003544,264,325,3
0.0003545,264,325,3
0.0003546,264,325,3
0.0003547,264,325,3
0.0003548,264,325,3
0.0003549,264,325,3
0.000355,264,325,3
0.0003551,264,325,3
0.0003552,264,325,3
0.0003553,264,325,3
0.0003554,264,325,3
0.0003555,264,325,3
0.0003556,264,325,3
0.0003557,264,325,3
0.0003558,264,325,3
0.0003559,264,325,3
0.000356,264,325,3
0.0003561,264,325,3
0.0003562,264,325,3
0.0003563,264,325,3
0.0003564,264,325,3
0.0003565,264,325,3
0.0003566,264,325,3
0.0003567,264,325,3
0.0003568,264,325,3
0.0003569,264,325,3
0.000357,264,325,3
0.0003571,264,325,3
0.0003572,264,325,3
0.0003573,264,325,3
0.0003574,264,325,3
0.0003575,264,325,3
0.0003576,264,325,3
0.0003577,264,325,3
0.0003578,264,325,3
0.0003579,264,325,3
0.000358,264,325,3
0.0003581,264,325,3
0.0003582,264,325,3
0.0003583,264,325,3
0.0003584,264,325,3
0.0003585,264,325,3
0.0003586,264,325,3
0.0003587,264,325,3
0.0003588,264,325,3
0.0003589,264,325,3
0.000359,264,325,3
0.0003591,264,325,3
0.0003592,264,325,3
0.0003593,264,325,3
0.0003594,264,325,3
0.0003595,264,325,3
0.0003596,264,325,3
0.0003597,264,325,3
0.0003598,264,325,3
0.0003599,264,325,3
0.00036,264,325,3
0.0003601,264,325,3
0.0003602,264,325,3
0.0003603,264,325,3
0.0003604,264,325,3
0.0003605,264,325,3
0.0003606,264,325,3
0.0003607,264,325,3
0.0003608,264,325,3
0.0003609,264,325,3
0.000361,264,325,3
0.0003611,264,325,3
0.0003612,264,325,3
0.0003613,264,325,3
0.0003614,264,325,3
0.0003615,264,325,3
0.0003616,264,325,3
0.0003617,264,325,3
0.0003618,264,325,3
0.0003619,264,325,3
0.000362,264,325,3
0.0003621,264,325,3
0.0003622,264,325,3
0.0003623,264,325,3
0.0003624,264,325,3
0.0003625,264,325,3
0.0003626,264,325,3
0.0003627,264,325,3
0.0003628,264,325,3
0.0003629,264,325,3
0.000363,264,325,3
0.0003631,264,325,3
0.0003632,264,325,3
0.0003633,264,325,3
0.0003634,264,325,3
0.0003635,264,325,3
0.0003636,264,325,3
0.0003637,264,325,3
0.0003638,264,325,3
0.0003639,264,325,3
0.000364,264,325,3
0.0003641,264,325,3
0.0003642,264,325,3
0.0003643,264,325,3
0.0003644,264,325,3
0.0003645,264,325,3
0.0003646,264,325,3
0.0003647,264,325,3
0.0003648,264,325,3
0.0003649,264,325,3
0.000365,264,325,3
0.0003651,264,325,3
0.0003652,264,325,3
0.0003653,264,325,3
0.0003654,264,325,3
0.0003655,264,325,3
0.0003656,264,325,3
0.0003657,264,325,3
0.0003658,264,325,3
0.0003659,264,325,3
0.000366,264,325,3
0.0003661,264,325,3
0.0003662,264,325,3
0.0003663,264,325,3
0.0003664,264,325,3
0.0003665,264,325,3
0.0003666,264,325,3
0.0003667,264,325,3
0.0003668,264,325,3
0.0003669,264,325,3
0.000367,264,325,3
0.0003671,264,325,3
0.0003672,264,325,3
