particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
6220,0.24876,4,2,,0.0790310047526185,0.0,-0.0204462970357611,0.0
6221,0.2488,5,1,,0.071018768399318,0.0,0.0324148796275644,0.0
6222,0.24884,6,2,,0.0488116505635907,0.0,0.0196588414622369,0.0
6223,0.24888,7,1,,0.0804633418461493,0.0,0.05758666861614,0.0
6224,0.24892,8,2,,0.0704645634065398,0.0,0.0014455317544501,0.0
6225,0.24896,9,1,,0.0747643700270221,0.0,-0.0064652936509491,0.0
6226,0.249,10,2,,0.0567336748973607,0.0,0.0060229057048057,0.0
6227,0.24904,11,1,,0.0541123883803837,0.0,0.0434110545089314,0.0
6228,0.24908,12,2,,0.0832196660819527,0.0,0.0084047815906946,0.0
6229,0.24912,1,1,,0.0114639536293065,0.0,0.0168257015962398,0.0
6230,0.24916,2,2,,0.0749054832157885,0.0,0.0385183506035843,0.0
6231,0.2492,3,1,,0.0621877015189967,0.0,-0.0327202893162682,0.0
6232,0.24924,4,2,,0.0674830183985723,0.0,-0.0221288823853931,0.0
6233,0.24928,5,1,,0.0963071207244022,0.0,0.0160198057951712,0.0
6234,0.24932,6,2,,0.0720076791528151,0.0,-0.0186612060187379,0.0
6235,0.24936,7,1,,0.0541287896870603,0.0,0.014777257527393,0.0
6236,0.2494,8,2,,0.0953907715427228,0.0,0.0214677470120812,0.0
6237,0.24944,9,1,,0.0774605299246395,0.0,0.014449701293963,0.0
6238,0.24948,10,2,,0.0545742820223004,0.0,0.007592384392417,0.0
6239,0.24952,11,1,,0.0988502412612885,0.0,0.0320240334107534,0.0
6240,0.24956,12,2,,0.0598667612384562,0.0,0.0188364308417774,0.0
6241,0.2496,1,1,,0.070617854096222,0.0,0.0541632134104632,0.0
6242,0.24964,2,2,,0.0750001695317503,0.0,0.0220640156778586,0.0
6243,0.24968,3,1,,0.0472748458769269,0.0,0.0013263438647407,0.0
6244,0.24972,4,2,,0.0553531646356458,0.0,0.0055903520886284,0.0
6245,0.24976,5,1,,0.0894082103310396,0.0,0.042237816279494,0.0
6246,0.2498,6,2,,0.0097200493199778,0.0,0.0221535235787636,0.0
6247,0.24984,7,1,,0.0823297701334554,0.0,0.0393332417643628,0.0
6248,0.24988,8,2,,0.0591253078426641,0.0,-0.0335572250316519,0.0
6249,0.24992,9,1,,0.0471411597619807,0.0,0.0122243512957133,0.0
6250,0.24996,10,2,,0.1001013653903247,0.0,0.0060276811668532,0.0
6251,0.25,11,1,,0.0951347012621922,0.0,0.055734785297096,0.0
6252,0.25004,12,2,,0.0925095994690359,0.0,0.031141335516279,0.0
6253,0.25008,1,1,,0.059616357734355,0.0,0.0324552250541258,0.0
6254,0.25012,2,2,,0.0561795226588235,0.0,-0.0033807681385016,0.0
6255,0.25016,3,1,,0.0977713475525482,0.0,0.0228293325429635,0.0
6256,0.2502,4,2,,0.0819750383782785,0.0,0.0258578442884403,0.0
6257,0.25024,5,1,,0.0611055372265209,0.0,0.0196610065450973,0.0
6258,0.25028,6,2,,0.0195827151358243,0.0,0.0063325622043338,0.0
6259,0.25032,7,1,,0.0654272178869991,0.0,0.0607937489102002,0.0
6260,0.25036,8,2,,0.0616982866915187,0.0,-0.0269227486049608,0.0
6261,0.2504,9,1,,0.0450807190534684,0.0,0.0004950942602514,0.0
6262,0.25044,10,2,,0.065713266465106,0.0,-0.0246014760973475,0.0
6263,0.25048,11,1,,0.0747704879445214,0.0,0.0418768642203998,0.0
6264,0.25052,12,2,,0.0918679835569393,0.0,0.0308971693961909,0.0
6265,0.25056,1,1,,0.0387504177889885,0.0,0.010035241546748,0.0
6266,0.2506,2,2,,0.0569643944862071,0.0,0.0128956020717547,0.0
6267,0.25064,3,1,,0.0953028290448581,0.0,-0.0221503187967952,0.0
6268,0.25068,4,2,,0.0813204287142355,0.0,-0.0146907746522456,0.0
6269,0.25072,5,1,,0.075403852062574,0.0,0.0606257326676572,0.0
6270,0.25076,6,2,,0.0569191948969761,0.0,0.0019064052970347,0.0
6271,0.2508,7,1,,0.0823181386404546,0.0,-0.0332115375971632,0.0
6272,0.25084,8,2,,0.0314879225081092,0.0,0.0044683494190132,0.0
6273,0.25088,9,1,,0.1003986049337818,0.0,0.0474188671149907,0.0
6274,0.25092,10,2,,0.0746914401048194,0.0,-0.03759292944634,0.0
6275,0.25096,11,1,,0.0541770520495083,0.0,-0.0240062046617909,0.0
6276,0.251,12,2,,0.087255121863115,0.0,-0.0189005463304011,0.0
6277,0.25104,1,1,,0.0169675002359793,0.0,0.0180247108331682,0.0
6278,0.25108,2,2,,0.0092290906753717,0.0,2.7221013293215303e-05,0.0
6279,0.25112,3,1,,0.054769635300416,0.0,-0.0313785263411951,0.0
6280,0.25116,4,2,,0.0787340476401586,0.0,-0.0178429929074138,0.0
6281,0.2512,5,1,,0.0865347335223074,0.0,0.0247186560061863,0.0
6282,0.25124,6,2,,0.0695783657329522,0.0,0.0319668868544408,0.0
6283,0.25128,7,1,,0.0232570527331519,0.0,0.0141317436772945,0.0
6284,0.25132,8,2,,0.0649334776845087,0.0,0.0469960806769022,0.0
6285,0.25136,9,1,,0.0742598098013406,0.0,2.8539223132404035e-05,0.0
6286,0.2514,10,2,,0.0720985461003748,0.0,0.0054423533457297,0.0
6287,0.25144,11,1,,0.0910953569141495,0.0,-0.0233603549313338,0.0
6288,0.25148,12,2,,0.0932667410703659,0.0,0.0104019909015145,0.0
6289,0.25152,1,1,,0.0758331169947696,0.0,-0.0047198790871014,0.0
6290,0.25156,2,2,,0.0042912734221848,0.0,0.0213493675672606,0.0
6291,0.2516,3,1,,0.0779962449461261,0.0,0.0019678716489822,0.0
6292,0.25164,4,2,,0.0700645167305862,0.0,0.0045684677425355,0.0
6293,0.25168,5,1,,0.0589860184569389,0.0,0.0465103470657254,0.0
6294,0.25172,6,2,,0.0652148403815332,0.0,-0.0162227766469547,0.0
6295,0.25176,7,1,,0.06657385765222,0.0,0.0304875010491064,0.0
6296,0.2518,8,2,,0.0717707272774936,0.0,0.0095525361552118,0.0
6297,0.25184,9,1,,0.0875152418630161,0.0,0.0439418956573602,0.0
6298,0.25188,10,2,,0.0572332317393504,0.0,-0.0159335818759774,0.0
6299,0.25192,11,1,,0.0567521820482056,0.0,-0.032582251994024,0.0
6300,0.25196,12,2,,0.0570606033120867,0.0,-0.009880504256518,0.0
6301,0.252,1,1,,0.0171671296474656,0.0,0.0172663231858315,0.0
6302,0.25204,2,2,,0.0307291113368067,0.0,0.00201216089551,0.0
6303,0.25208,3,1,,0.0632477918222772,0.0,0.0567469452539613,0.0
6304,0.25212,4,2,,0.091047356035572,0.0,-0.0242164732854747,0.0
6305,0.25216,5,1,,0.0052211783710319,0.0,0.0036343586828095,0.0
6306,0.2522,6,2,,0.0953110996299291,0.0,0.0379445706011403,0.0
6307,0.25224,7,1,,0.0831868312753381,0.0,-0.0307133825369499,0.0
6308,0.25228,8,2,,0.0332934534694518,0.0,0.0211242175265833,0.0
6309,0.25232,9,1,,0.0507623513401861,0.0,0.00140397822359,0.0
6310,0.25236,10,2,,0.0651090899212917,0.0,0.0221268363539493,0.0
6311,0.2524,11,1,,0.0618844176183624,0.0,-0.0149397862701277,0.0
6312,0.25244,12,2,,0.0481565215951982,0.0,0.0189965741655922,0.0
6313,0.25248,1,1,,0.0870257094386286,0.0,0.0337516552735354,0.0
6314,0.25252,2,2,,0.0999566667994347,0.0,0.0009035303090617,0.0
6315,0.25256,3,1,,0.0821719075556367,0.0,0.000627117714303,0.0
6316,0.2526,4,2,,0.0787973350927117,0.0,0.0290691611025578,0.0
6317,0.25264,5,1,,0.0872395842642913,0.0,-0.0227932317186685,0.0
6318,0.25268,6,2,,0.101309276056001,0.0,-0.0249428873736927,0.0
6319,0.25272,7,1,,0.0754157173900706,0.0,-0.0052122912147532,0.0
6320,0.25276,8,2,,0.0696303525405261,0.0,0.0354613502659946,0.0
6321,0.2528,9,1,,0.078126086043501,0.0,-0.0289393408165025,0.0
6322,0.25284,10,2,,0.0876675240437081,0.0,0.0587294994369027,0.0
6323,0.25288,11,1,,0.0773110396241611,0.0,0.0022047074851278,0.0
6324,0.25292,12,2,,0.0817902640227576,0.0,0.0146432595948702,0.0
6325,0.25296,1,1,,0.0751881112762991,0.0,-0.0180006180430344,0.0
6326,0.253,2,2,,0.0932668759533457,0.0,0.0196517859583318,0.0
6327,0.25304,3,1,,0.0584552275387732,0.0,0.014091576498022,0.0
6328,0.25308,4,2,,0.0908424344627794,0.0,-0.0089748612726527,0.0
6329,0.25312,5,1,,0.1006024833791799,0.0,-0.0323543562264165,0.0
6330,0.25316,6,2,,0.0624234336793087,0.0,-0.0046402542075033,0.0
6331,0.2532,7,1,,0.0134538111193649,0.0,0.0001317198920898,0.0
6332,0.25324,8,2,,0.0307542033285396,0.0,0.0192319993667135,0.0
6333,0.25328,9,1,,0.0780334654136473,0.0,0.0286223706637388,0.0
6334,0.25332,10,2,,0.0306810872145392,0.0,0.0167665742662373,0.0
6335,0.25336,11,1,,0.0256071477370365,0.0,0.0212044355298521,0.0
6336,0.2534,12,2,,0.0847052007559209,0.0,0.0286313216854704,0.0
6337,0.25344,1,1,,0.0840347102217142,0.0,-0.0255072330799016,0.0
6338,0.25348,2,2,,0.0987858609615974,0.0,-0.0213652237901793,0.0
6339,0.25352,3,1,,0.0255825802094441,0.0,0.00270474339394,0.0
6340,0.25356,4,2,,0.087596293094777,0.0,0.0022778924437211,0.0
6341,0.2536,5,1,,0.0912568327897545,0.0,-0.0096150062616647,0.0
6342,0.25364,6,2,,0.0840199187772155,0.0,0.0331934702688789,0.0
6343,0.25368,7,1,,0.0893324034137683,0.0,0.0518647203802154,0.0
6344,0.25372,8,2,,0.1010476654966611,0.0,-0.0317558955624517,0.0
6345,0.25376,9,1,,0.061401351404064,0.0,-0.008174052596006,0.0
6346,0.2538,10,2,,0.0133438716326036,0.0,0.0158094445473344,0.0
6347,0.25384,11,1,,0.0909246670962529,0.0,0.0158267630861869,0.0
