particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1306,0.16512545665398051,0.024,-531.23463226430852,-1.539109638966162,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16512545665398051,0.021999999999999999,0.0020000000000000018,0.060551191912718003,0.022117623689404061,531.2368618379902,neutral_100nm_low_pressure_redeposit
1307,0.16689118934886635,0.024,-682.21524072022225,32.252690629965542,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16689118934886635,0.021999999999999999,0.0020000000000000018,0.12813946531212245,0.022103700408052315,682.9772109842487,neutral_100nm_low_pressure_redeposit
1308,0.16640423795262033,0.024,-481.51662035594205,-73.829851277994266,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16640423795262033,0.021999999999999999,0.0020000000000000018,0.14974082351448964,0.022167068950212601,487.14382128765544,neutral_100nm_low_pressure_redeposit
1309,0.17713778431609511,0.024,-931.03818293728671,7.6061887288529881,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17713778431609511,0.021999999999999999,0.0020000000000000018,0.13010809768149995,0.021874281542793927,931.06925209360418,neutral_100nm_low_pressure_redeposit
1310,0.16292851868857897,0.024,-471.94652519726111,-49.938515226874998,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16292851868857897,0.021999999999999999,0.0020000000000000018,0.14082659907085163,0.022357401609906114,474.5812659058866,neutral_100nm_low_pressure_redeposit
1311,0.1554336699745314,0.024,-283.21993957289027,-19.494743923803984,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1554336699745314,0.021999999999999999,0.0020000000000000018,0.13232006799303273,0.021882543982660662,283.89008297636303,neutral_100nm_low_pressure_redeposit
1312,0.15453776746436379,0.024,-309.33040792367495,-62.438765418083513,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15453776746436379,0.021999999999999999,0.0020000000000000018,0.095447213109281046,0.021833617555476439,315.56916942749905,neutral_100nm_low_pressure_redeposit
1313,0.16258541999826207,0.024,-453.0731770890834,11.800539039808434,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16258541999826207,0.021999999999999999,0.0020000000000000018,0.12602362211891013,0.022052783833710853,453.22682678679331,neutral_100nm_low_pressure_redeposit
1314,0.17701963952376068,0.024,-504.68419254321475,-16.612156166373115,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17701963952376068,0.021999999999999999,0.0020000000000000018,0.11226144063050028,0.022302608110752655,504.95752092180254,neutral_100nm_low_pressure_redeposit
1315,0.16055219604404275,0.024,-548.71533158198997,-53.971422742286457,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16055219604404275,0.021999999999999999,0.0020000000000000018,0.13516999894157014,0.022056397612315294,551.36324649541143,neutral_100nm_low_pressure_redeposit
1316,0.16415948188893625,0.024,-408.86919813549792,27.988088576546225,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16415948188893625,0.021999999999999999,0.0020000000000000018,0.12625041854848926,0.021943225245063282,409.82600489248324,neutral_100nm_low_pressure_redeposit
1317,0.17360737957999969,0.024,-325.58713159077644,45.722113489598271,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17360737957999969,0.021999999999999999,0.0020000000000000018,0.12753022581864545,0.02144854013991104,328.78183027573965,neutral_100nm_low_pressure_redeposit
1318,0.16846685685044324,0.024,-441.28899371350371,3.0150331312255298,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16846685685044324,0.021999999999999999,0.0020000000000000018,0.11525646498537093,0.022403583833260791,441.29929344772256,neutral_100nm_low_pressure_redeposit
